,UF,V02322,V0210,V4105,V0232
1,11,2.0,2.0,1,2.0
3,11,2.0,2.0,1,2.0
4,11,2.0,2.0,1,2.0
6,11,2.0,2.0,1,2.0
10,11,2.0,2.0,1,2.0
11,11,2.0,2.0,1,2.0
16,11,2.0,2.0,1,2.0
17,11,2.0,2.0,1,2.0
18,11,2.0,2.0,1,2.0
22,11,2.0,2.0,1,2.0
23,11,2.0,2.0,1,2.0
26,11,2.0,2.0,1,4.0
30,11,4.0,2.0,1,4.0
43,11,2.0,2.0,1,2.0
45,11,2.0,2.0,1,2.0
47,11,2.0,2.0,1,2.0
53,11,2.0,2.0,1,2.0
57,11,2.0,2.0,1,4.0
63,11,2.0,2.0,1,4.0
72,11,2.0,2.0,1,2.0
74,11,2.0,2.0,1,2.0
84,11,2.0,2.0,1,2.0
86,11,2.0,2.0,1,2.0
92,11,2.0,2.0,1,2.0
94,11,2.0,2.0,1,2.0
96,11,2.0,2.0,1,2.0
99,11,2.0,2.0,1,2.0
100,11,2.0,2.0,1,2.0
102,11,2.0,2.0,1,2.0
104,11,2.0,2.0,1,2.0
118,11,2.0,2.0,1,2.0
120,11,2.0,2.0,1,2.0
132,11,2.0,2.0,8,2.0
144,11,2.0,2.0,1,2.0
147,11,2.0,2.0,1,4.0
151,11,2.0,2.0,1,2.0
154,11,2.0,2.0,1,2.0
155,11,2.0,2.0,1,2.0
156,11,2.0,2.0,1,2.0
170,11,2.0,2.0,1,2.0
174,11,2.0,2.0,1,2.0
176,11,2.0,2.0,1,2.0
179,11,2.0,2.0,1,2.0
186,11,2.0,2.0,1,2.0
190,11,2.0,2.0,1,2.0
191,11,2.0,2.0,1,2.0
193,11,2.0,2.0,8,2.0
204,11,2.0,2.0,8,2.0
205,11,2.0,2.0,8,2.0
209,11,2.0,2.0,8,2.0
210,11,2.0,2.0,8,2.0
218,11,2.0,2.0,8,2.0
220,11,2.0,2.0,8,2.0
222,11,2.0,2.0,8,2.0
229,11,2.0,2.0,1,2.0
232,11,4.0,2.0,1,4.0
237,11,2.0,2.0,1,2.0
243,11,2.0,2.0,1,2.0
253,11,2.0,2.0,1,2.0
260,11,4.0,2.0,1,4.0
261,11,4.0,2.0,1,4.0
263,11,2.0,2.0,1,2.0
265,11,2.0,2.0,1,2.0
283,11,2.0,2.0,1,2.0
289,11,2.0,2.0,1,2.0
300,11,2.0,2.0,1,2.0
304,11,2.0,2.0,1,4.0
307,11,2.0,2.0,1,2.0
308,11,4.0,2.0,1,4.0
309,11,2.0,4.0,1,4.0
313,11,2.0,2.0,1,4.0
317,11,4.0,2.0,1,4.0
324,11,2.0,2.0,1,2.0
330,11,2.0,2.0,1,2.0
332,11,2.0,2.0,1,2.0
340,11,2.0,2.0,1,2.0
342,11,2.0,2.0,1,2.0
343,11,4.0,2.0,1,4.0
345,11,4.0,2.0,1,4.0
348,11,2.0,2.0,1,2.0
353,11,4.0,2.0,1,4.0
355,11,2.0,2.0,1,2.0
358,11,2.0,2.0,8,2.0
361,11,2.0,2.0,8,2.0
371,11,2.0,2.0,8,2.0
378,11,2.0,2.0,8,2.0
392,11,2.0,2.0,1,2.0
394,11,2.0,2.0,1,2.0
395,11,2.0,2.0,1,2.0
397,11,2.0,2.0,1,2.0
398,11,2.0,2.0,1,2.0
399,11,2.0,2.0,1,2.0
401,11,2.0,2.0,1,2.0
402,11,2.0,2.0,1,2.0
406,11,2.0,2.0,1,2.0
407,11,2.0,2.0,1,2.0
408,11,2.0,2.0,1,2.0
412,11,2.0,2.0,1,2.0
414,11,2.0,2.0,1,2.0
419,11,2.0,2.0,1,2.0
420,11,2.0,2.0,1,2.0
429,11,2.0,2.0,8,2.0
442,11,2.0,2.0,1,2.0
448,11,2.0,2.0,1,2.0
449,11,2.0,2.0,1,2.0
454,11,2.0,2.0,1,2.0
459,11,2.0,2.0,1,2.0
462,11,2.0,2.0,1,2.0
464,11,2.0,2.0,1,2.0
467,11,2.0,2.0,1,2.0
472,11,2.0,2.0,1,4.0
476,11,2.0,2.0,1,2.0
478,11,2.0,2.0,1,2.0
481,11,2.0,2.0,1,2.0
482,11,2.0,2.0,1,2.0
485,11,2.0,2.0,1,2.0
506,11,2.0,2.0,8,2.0
514,11,4.0,2.0,1,4.0
515,11,4.0,2.0,1,4.0
518,11,4.0,2.0,1,4.0
523,11,2.0,2.0,1,2.0
526,11,2.0,2.0,1,2.0
528,11,2.0,2.0,1,2.0
530,11,2.0,2.0,1,2.0
532,11,4.0,2.0,1,4.0
533,11,2.0,2.0,1,2.0
535,11,4.0,2.0,1,4.0
537,11,2.0,2.0,1,2.0
540,11,2.0,2.0,1,2.0
541,11,2.0,2.0,1,2.0
546,11,2.0,2.0,1,2.0
554,11,2.0,2.0,1,2.0
559,11,2.0,2.0,1,2.0
562,11,2.0,2.0,1,2.0
563,11,2.0,2.0,1,2.0
568,11,4.0,2.0,1,4.0
590,11,2.0,2.0,1,2.0
598,11,2.0,2.0,1,2.0
601,11,2.0,2.0,1,2.0
602,11,4.0,2.0,1,4.0
613,11,2.0,2.0,1,2.0
620,11,2.0,2.0,1,4.0
621,11,2.0,2.0,1,4.0
634,11,2.0,2.0,1,2.0
639,11,2.0,2.0,1,2.0
641,11,2.0,2.0,1,2.0
642,11,2.0,2.0,1,2.0
645,11,2.0,2.0,1,2.0
648,11,4.0,2.0,8,4.0
651,11,2.0,2.0,8,2.0
657,11,4.0,2.0,8,4.0
671,11,4.0,2.0,1,4.0
675,11,4.0,2.0,1,4.0
677,11,4.0,2.0,1,4.0
686,11,2.0,2.0,1,2.0
688,11,2.0,2.0,1,2.0
689,11,2.0,2.0,1,2.0
692,11,2.0,2.0,1,2.0
693,11,2.0,2.0,1,2.0
700,11,2.0,2.0,1,2.0
702,11,2.0,2.0,1,2.0
703,11,2.0,2.0,1,2.0
705,11,2.0,2.0,1,2.0
707,11,2.0,2.0,1,2.0
710,11,2.0,2.0,1,2.0
713,11,2.0,2.0,1,2.0
715,11,2.0,2.0,1,2.0
718,11,2.0,2.0,1,2.0
719,11,2.0,2.0,1,2.0
722,11,2.0,2.0,1,2.0
731,11,2.0,2.0,1,4.0
738,11,2.0,2.0,1,2.0
739,11,2.0,2.0,1,2.0
741,11,2.0,2.0,1,2.0
742,11,2.0,2.0,1,2.0
743,11,4.0,2.0,1,4.0
747,11,2.0,2.0,1,2.0
749,11,2.0,2.0,1,4.0
752,11,2.0,2.0,1,2.0
754,11,2.0,2.0,1,2.0
755,11,2.0,2.0,1,2.0
756,11,2.0,2.0,1,2.0
766,11,2.0,2.0,1,2.0
768,11,2.0,2.0,1,2.0
770,11,2.0,2.0,1,2.0
772,11,2.0,2.0,1,2.0
775,11,2.0,2.0,1,2.0
780,11,2.0,2.0,1,2.0
781,11,2.0,2.0,1,2.0
783,11,4.0,2.0,1,4.0
787,11,2.0,2.0,1,2.0
789,11,4.0,2.0,1,4.0
790,11,2.0,2.0,1,2.0
794,11,2.0,2.0,1,2.0
795,11,2.0,2.0,1,2.0
796,11,2.0,2.0,1,2.0
799,11,2.0,2.0,1,2.0
800,11,2.0,2.0,1,2.0
802,11,2.0,2.0,1,2.0
807,11,2.0,2.0,1,2.0
815,11,2.0,2.0,1,4.0
819,11,2.0,2.0,1,2.0
822,11,2.0,2.0,1,4.0
828,11,2.0,2.0,1,4.0
831,11,2.0,2.0,1,2.0
833,11,2.0,2.0,1,2.0
841,11,2.0,2.0,1,2.0
843,11,2.0,2.0,2,2.0
851,11,2.0,2.0,2,2.0
856,11,2.0,2.0,2,2.0
860,11,4.0,2.0,2,4.0
861,11,2.0,2.0,2,2.0
862,11,2.0,2.0,2,2.0
866,11,4.0,2.0,2,4.0
870,11,2.0,2.0,2,2.0
871,11,2.0,2.0,2,2.0
874,11,2.0,2.0,2,4.0
875,11,2.0,2.0,2,2.0
880,11,2.0,2.0,1,2.0
893,11,4.0,2.0,1,4.0
897,11,2.0,2.0,1,2.0
910,11,2.0,2.0,1,2.0
