,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G,Classe
2,Acre,1150,Sim,Sim,Não,Sim,média_baixa
3,Acre,793,Sim,Sim,Sim,Sim,média_baixa
5,Acre,1990,Sim,Sim,Não,Não,média
8,Acre,818,Sim,Sim,Sim,Sim,média_baixa
10,Acre,1716,Sim,Sim,Sim,Sim,média
11,Acre,2500,Sim,Sim,Sim,Sim,média
13,Acre,1400,Sim,Sim,Sim,Sim,média_baixa
15,Acre,666,Sim,Sim,Sim,Sim,média_baixa
17,Acre,750,Sim,Não,Sim,Não,média_baixa
18,Acre,1437,Sim,Sim,Sim,Não,média_baixa
19,Acre,600,Sim,Sim,Não,Não,média_baixa
20,Acre,933,Sim,Sim,Sim,Não,média_baixa
23,Acre,2666,Sim,Não,Sim,Não,média
27,Acre,3325,Sim,Sim,Sim,Não,alta
28,Acre,3500,Sim,Sim,Sim,Não,alta
29,Acre,1172,Sim,Sim,Sim,Não,média_baixa
31,Acre,3000,Sim,Sim,Sim,Não,média
32,Acre,366,Sim,Sim,Não,Não,baixa
33,Acre,175,Sim,Sim,Não,Não,baixa
37,Acre,596,Sim,Sim,Sim,Sim,média_baixa
39,Acre,196,Sim,Sim,Sim,Sim,baixa
42,Acre,975,Sim,Sim,Não,Não,média_baixa
43,Acre,850,Sim,Sim,Não,Não,média_baixa
44,Acre,2000,Sim,Sim,Sim,Sim,média
45,Acre,480,Sim,Sim,Não,Não,baixa
50,Acre,666,Sim,Sim,Sim,Sim,média_baixa
54,Acre,2100,Sim,Não,Sim,Sim,média
66,Acre,635,Sim,Não,Sim,Sim,média_baixa
71,Acre,550,Sim,Não,Sim,Não,média_baixa
72,Acre,590,Sim,Não,Sim,Sim,média_baixa
73,Acre,2800,Sim,Não,Sim,Sim,média
74,Acre,625,Sim,Sim,Sim,Não,média_baixa
76,Acre,1500,Sim,Não,Sim,Sim,média_baixa
77,Acre,837,Sim,Não,Sim,Sim,média_baixa
78,Acre,675,Sim,Não,Sim,Não,média_baixa
79,Acre,1766,Sim,Sim,Sim,Sim,média
80,Acre,2900,Sim,Sim,Sim,Não,média
85,Acre,617,Sim,Não,Sim,Não,média_baixa
87,Acre,184,Sim,Sim,Sim,Sim,baixa
93,Acre,512,Sim,Sim,Sim,Sim,média_baixa
94,Acre,833,Sim,Não,Sim,Não,média_baixa
96,Acre,490,Sim,Não,Sim,Sim,baixa
97,Acre,232,Sim,Não,Sim,Sim,baixa
102,Acre,530,Sim,Não,Sim,Não,média_baixa
105,Acre,505,Sim,Não,Sim,Sim,média_baixa
110,Acre,250,Sim,Não,Sim,Sim,baixa
111,Acre,280,Sim,Não,Sim,Não,baixa
112,Acre,1250,Sim,Não,Sim,Sim,média_baixa
113,Acre,2125,Sim,Não,Sim,Sim,média
116,Acre,800,Sim,Sim,Sim,Sim,média_baixa
117,Acre,342,Sim,Não,Sim,Sim,baixa
119,Acre,197,Sim,Não,Sim,Sim,baixa
120,Acre,647,Sim,Não,Sim,Sim,média_baixa
124,Acre,694,Sim,Não,Sim,Sim,média_baixa
132,Acre,821,Sim,Não,Sim,Não,média_baixa
134,Acre,241,Sim,Não,Sim,Não,baixa
139,Acre,433,Sim,Sim,Sim,Sim,baixa
140,Acre,440,Sim,Sim,Sim,Sim,baixa
142,Acre,692,Sim,Não,Sim,Sim,média_baixa
143,Acre,1420,Sim,Sim,Sim,Sim,média_baixa
144,Acre,1300,Sim,Não,Sim,Sim,média_baixa
152,Acre,787,Sim,Não,Sim,Sim,média_baixa
157,Acre,1010,Sim,Não,Sim,Sim,média_baixa
160,Acre,900,Sim,Sim,Sim,Sim,média_baixa
161,Acre,187,Sim,Sim,Sim,Sim,baixa
167,Acre,1095,Sim,Sim,Sim,Sim,média_baixa
169,Acre,222,Sim,Não,Sim,Sim,baixa
170,Acre,550,Sim,Não,Sim,Sim,média_baixa
175,Acre,120,Sim,Sim,Sim,Não,baixa
176,Acre,1925,Sim,Sim,Sim,Sim,média
179,Acre,497,Sim,Sim,Sim,Sim,baixa
180,Acre,1050,Sim,Sim,Sim,Sim,média_baixa
181,Acre,697,Sim,Sim,Sim,Não,média_baixa
186,Acre,528,Sim,Não,Sim,Sim,média_baixa
189,Acre,900,Sim,Sim,Sim,Não,média_baixa
191,Acre,6000,Sim,Sim,Sim,Não,alta
197,Acre,297,Sim,Sim,Não,Não,baixa
205,Acre,547,Sim,Não,Sim,Sim,média_baixa
207,Acre,1829,Sim,Sim,Sim,Sim,média
211,Acre,116,Sim,Não,Sim,Sim,baixa
229,Acre,4317,Sim,Sim,Sim,Sim,alta
230,Acre,733,Sim,Sim,Sim,Sim,média_baixa
232,Acre,3000,Sim,Sim,Sim,Sim,média
237,Acre,1600,Sim,Sim,Sim,Sim,média
240,Acre,1230,Sim,Sim,Sim,Sim,média_baixa
243,Acre,3133,Sim,Sim,Sim,Não,alta
244,Acre,2000,Sim,Sim,Sim,Não,média
245,Acre,875,Sim,Sim,Sim,Sim,média_baixa
247,Acre,850,Sim,Sim,Sim,Sim,média_baixa
249,Acre,1125,Sim,Sim,Sim,Sim,média_baixa
250,Acre,1150,Sim,Não,Sim,Não,média_baixa
257,Acre,1080,Sim,Sim,Sim,Sim,média_baixa
264,Acre,876,Sim,Sim,Sim,Não,média_baixa
272,Acre,808,Sim,Sim,Não,Não,média_baixa
274,Acre,1575,Sim,Sim,Sim,Sim,média
277,Acre,2000,Sim,Sim,Sim,Sim,média
278,Acre,950,Sim,Sim,Sim,Não,média_baixa
280,Acre,4000,Sim,Sim,Sim,Sim,alta
284,Acre,2200,Sim,Sim,Sim,Não,média
285,Acre,907,Sim,Sim,Não,Não,média_baixa
286,Acre,1550,Sim,Não,Sim,Sim,média
293,Acre,759,Sim,Não,Sim,Sim,média_baixa
294,Acre,309,Sim,Sim,Sim,Sim,baixa
297,Acre,1700,Sim,Sim,Sim,Sim,média
298,Acre,500,Sim,Sim,Sim,Sim,baixa
300,Acre,197,Sim,Não,Sim,Sim,baixa
303,Acre,3000,Sim,Sim,Sim,Não,média
304,Acre,375,Sim,Sim,Sim,Sim,baixa
306,Acre,644,Sim,Sim,Não,Sim,média_baixa
308,Acre,1788,Sim,Sim,Sim,Sim,média
309,Acre,600,Sim,Não,Sim,Sim,média_baixa
318,Acre,2150,Sim,Sim,Sim,Sim,média
319,Acre,1800,Sim,Não,Sim,Sim,média
321,Acre,900,Sim,Não,Sim,Sim,média_baixa
323,Acre,677,Sim,Sim,Não,Não,média_baixa
325,Acre,744,Sim,Sim,Não,Não,média_baixa
329,Acre,683,Sim,Sim,Sim,Não,média_baixa
330,Acre,13666,Sim,Sim,Sim,Sim,alta
333,Acre,1950,Sim,Sim,Sim,Não,média
341,Acre,2197,Sim,Não,Sim,Sim,média
342,Acre,800,Sim,Sim,Sim,Não,média_baixa
343,Acre,829,Sim,Sim,Sim,Não,média_baixa
345,Acre,133,Sim,Sim,Não,Não,baixa
347,Acre,331,Sim,Não,Sim,Sim,baixa
349,Acre,400,Sim,Sim,Sim,Não,baixa
350,Acre,2110,Sim,Sim,Sim,Não,média
355,Acre,3125,Sim,Sim,Sim,Não,alta
356,Acre,922,Sim,Sim,Sim,Não,média_baixa
357,Acre,1666,Sim,Sim,Sim,Sim,média
392,Acre,2096,Sim,Não,Sim,Não,média
396,Acre,5000,Sim,Sim,Sim,Sim,alta
401,Acre,2075,Sim,Sim,Não,Não,média
403,Acre,1500,Sim,Sim,Sim,Não,média_baixa
406,Acre,1737,Sim,Sim,Sim,Não,média
409,Acre,966,Sim,Não,Sim,Não,média_baixa
411,Acre,1250,Sim,Sim,Não,Não,média_baixa
412,Acre,400,Sim,Sim,Sim,Sim,baixa
419,Acre,600,Sim,Não,Sim,Sim,média_baixa
421,Acre,4666,Sim,Sim,Sim,Não,alta
422,Acre,1100,Sim,Sim,Sim,Não,média_baixa
427,Acre,2466,Sim,Sim,Sim,Não,média
440,Acre,575,Sim,Sim,Sim,Não,média_baixa
442,Acre,933,Sim,Não,Sim,Sim,média_baixa
444,Acre,325,Sim,Sim,Sim,Sim,baixa
445,Acre,1233,Sim,Sim,Sim,Sim,média_baixa
446,Acre,1075,Sim,Não,Sim,Sim,média_baixa
455,Acre,1144,Sim,Sim,Não,Não,média_baixa
456,Acre,494,Sim,Não,Sim,Sim,baixa
457,Acre,833,Sim,Não,Sim,Não,média_baixa
458,Acre,1088,Sim,Não,Sim,Sim,média_baixa
461,Acre,455,Sim,Não,Sim,Sim,baixa
466,Acre,340,Sim,Não,Sim,Sim,baixa
469,Acre,1920,Sim,Não,Sim,Sim,média
478,Acre,553,Sim,Sim,Não,Não,média_baixa
480,Acre,327,Sim,Sim,Sim,Não,baixa
484,Acre,1194,Sim,Sim,Sim,Não,média_baixa
486,Acre,679,Sim,Não,Sim,Sim,média_baixa
488,Acre,476,Sim,Não,Sim,Sim,baixa
489,Acre,2364,Sim,Sim,Não,Não,média
491,Acre,966,Sim,Não,Sim,Sim,média_baixa
493,Acre,578,Sim,Sim,Não,Não,média_baixa
505,Acre,800,Sim,Não,Sim,Sim,média_baixa
525,Acre,394,Sim,Sim,Sim,Sim,baixa
535,Acre,762,Sim,Sim,Sim,Não,média_baixa
536,Acre,316,Sim,Sim,Não,Não,baixa
538,Acre,1500,Sim,Sim,Não,Não,média_baixa
540,Acre,535,Sim,Sim,Sim,Sim,média_baixa
550,Acre,529,Sim,Sim,Sim,Sim,média_baixa
552,Acre,300,Sim,Sim,Sim,Sim,baixa
561,Acre,600,Sim,Sim,Sim,Não,média_baixa
567,Acre,388,Sim,Não,Sim,Não,baixa
589,Acre,366,Sim,Sim,Não,Não,baixa
594,Acre,983,Sim,Não,Sim,Sim,média_baixa
596,Acre,1560,Sim,Sim,Sim,Não,média
598,Acre,1894,Sim,Sim,Sim,Não,média
600,Acre,1850,Sim,Sim,Sim,Não,média
601,Acre,2125,Sim,Sim,Sim,Sim,média
603,Acre,1125,Sim,Sim,Sim,Não,média_baixa
608,Acre,1175,Sim,Não,Sim,Sim,média_baixa
611,Acre,200,Sim,Não,Sim,Sim,baixa
612,Acre,916,Sim,Não,Sim,Sim,média_baixa
613,Acre,373,Sim,Não,Sim,Sim,baixa
614,Acre,497,Sim,Não,Sim,Sim,baixa
617,Acre,504,Sim,Não,Sim,Sim,média_baixa
618,Acre,701,Sim,Sim,Sim,Sim,média_baixa
619,Acre,880,Sim,Sim,Sim,Sim,média_baixa
620,Acre,166,Sim,Não,Sim,Sim,baixa
621,Acre,1500,Sim,Não,Sim,Sim,média_baixa
622,Acre,207,Sim,Não,Sim,Não,baixa
625,Acre,821,Sim,Não,Sim,Não,média_baixa
626,Acre,1200,Sim,Não,Sim,Sim,média_baixa
628,Acre,412,Sim,Não,Sim,Sim,baixa
629,Acre,1566,Sim,Sim,Sim,Sim,média
631,Acre,311,Sim,Não,Sim,Sim,baixa
632,Acre,1500,Sim,Não,Sim,Sim,média_baixa
635,Acre,625,Sim,Sim,Sim,Não,média_baixa
636,Acre,846,Sim,Não,Sim,Não,média_baixa
637,Acre,500,Sim,Sim,Sim,Não,baixa
