,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G
93132,São Paulo,4250,Sim,Não,Não,Não
93133,São Paulo,1262,Sim,Não,Não,Não
93135,São Paulo,3000,Sim,Não,Não,Não
93140,São Paulo,1550,Sim,Não,Não,Sim
93143,São Paulo,2300,Sim,Não,Não,Não
93147,São Paulo,788,Sim,Não,Não,Não
93148,São Paulo,697,Sim,Não,Não,Não
93149,São Paulo,900,Sim,Não,Não,Não
93150,São Paulo,1744,Sim,Não,Sim,Sim
93156,São Paulo,1333,Sim,Sim,Não,Não
93157,São Paulo,766,Sim,Não,Não,Não
93160,São Paulo,1433,Sim,Não,Não,Sim
93161,São Paulo,1267,Sim,Não,Não,Não
93167,São Paulo,788,Sim,Não,Sim,Sim
93171,São Paulo,716,Sim,Não,Sim,Sim
93172,São Paulo,820,Sim,Não,Não,Não
93173,São Paulo,1700,Sim,Não,Não,Não
93175,São Paulo,508,Sim,Sim,Não,Não
93176,São Paulo,511,Sim,Sim,Não,Não
93177,São Paulo,1143,Sim,Sim,Não,Não
93178,São Paulo,1000,Sim,Não,Não,Não
93179,São Paulo,1800,Sim,Não,Não,Não
93182,São Paulo,925,Sim,Não,Não,Sim
93184,São Paulo,1188,Sim,Não,Sim,Sim
93186,São Paulo,1350,Sim,Não,Sim,Não
93187,São Paulo,2466,Sim,Não,Não,Sim
93190,São Paulo,1200,Sim,Sim,Não,Não
93193,São Paulo,400,Sim,Não,Não,Não
93194,São Paulo,1800,Sim,Sim,Não,Não
93195,São Paulo,704,Sim,Sim,Não,Não
93196,São Paulo,750,Sim,Não,Não,Não
93197,São Paulo,660,Sim,Sim,Não,Não
93198,São Paulo,844,Sim,Não,Sim,Sim
93201,São Paulo,1188,Sim,Não,Sim,Sim
93204,São Paulo,450,Sim,Não,Não,Não
93205,São Paulo,844,Sim,Não,Não,Não
93207,São Paulo,197,Sim,Não,Não,Não
93210,São Paulo,1288,Sim,Não,Sim,Não
93211,São Paulo,240,Sim,Sim,Não,Não
93213,São Paulo,1150,Sim,Não,Não,Sim
93219,São Paulo,2500,Sim,Não,Não,Não
93222,São Paulo,4000,Sim,Não,Não,Não
93224,São Paulo,1200,Sim,Não,Sim,Sim
93226,São Paulo,1250,Sim,Sim,Não,Não
93228,São Paulo,508,Sim,Não,Não,Não
93229,São Paulo,2039,Sim,Não,Não,Não
93231,São Paulo,1766,Sim,Não,Não,Não
93233,São Paulo,8333,Sim,Não,Não,Não
93234,São Paulo,1000,Sim,Não,Não,Não
93237,São Paulo,2000,Sim,Não,Não,Não
93238,São Paulo,8500,Sim,Não,Não,Não
93241,São Paulo,4600,Sim,Não,Não,Não
93242,São Paulo,2433,Sim,Não,Não,Não
93243,São Paulo,4000,Sim,Não,Não,Não
93244,São Paulo,700,Sim,Não,Não,Não
93249,São Paulo,2000,Sim,Não,Não,Não
93263,São Paulo,8000,Sim,Não,Não,Não
93267,São Paulo,1075,Sim,Não,Não,Não
93271,São Paulo,560,Sim,Não,Não,Não
93272,São Paulo,4666,Sim,Não,Não,Não
93274,São Paulo,2133,Sim,Não,Não,Não
93275,São Paulo,2500,Sim,Não,Não,Não
93276,São Paulo,996,Sim,Não,Não,Não
93279,São Paulo,4340,Sim,Não,Não,Não
93284,São Paulo,2200,Sim,Sim,Não,Não
93285,São Paulo,1275,Sim,Não,Não,Não
93288,São Paulo,3000,Sim,Não,Não,Não
93289,São Paulo,2590,Sim,Não,Não,Não
93293,São Paulo,4660,Sim,Não,Não,Não
93295,São Paulo,2000,Sim,Não,Não,Não
93297,São Paulo,2650,Sim,Não,Não,Não
93307,São Paulo,3750,Sim,Não,Não,Não
93309,São Paulo,734,Sim,Sim,Não,Não
93310,São Paulo,6000,Sim,Não,Não,Não
93316,São Paulo,5394,Sim,Não,Não,Não
93318,São Paulo,3500,Sim,Não,Não,Não
93319,São Paulo,2625,Sim,Não,Não,Não
93323,São Paulo,1853,Sim,Não,Não,Não
93325,São Paulo,2800,Sim,Sim,Não,Não
93326,São Paulo,1333,Sim,Não,Não,Não
93333,São Paulo,3250,Sim,Não,Sim,Não
93334,São Paulo,1469,Sim,Não,Não,Não
93343,São Paulo,1333,Sim,Não,Não,Não
93344,São Paulo,12500,Sim,Não,Não,Não
93345,São Paulo,4700,Sim,Não,Sim,Não
93346,São Paulo,5250,Sim,Não,Não,Não
93348,São Paulo,8750,Sim,Não,Não,Não
93350,São Paulo,3500,Sim,Não,Não,Não
93352,São Paulo,5000,Sim,Não,Não,Não
93353,São Paulo,3000,Sim,Não,Sim,Não
93354,São Paulo,788,Sim,Não,Não,Não
93355,São Paulo,6000,Sim,Não,Não,Não
93357,São Paulo,5000,Sim,Não,Não,Não
93358,São Paulo,3100,Sim,Não,Não,Não
93359,São Paulo,3333,Sim,Não,Não,Não
93360,São Paulo,1400,Sim,Não,Não,Não
93362,São Paulo,788,Sim,Não,Sim,Sim
93363,São Paulo,1858,Sim,Sim,Não,Não
93364,São Paulo,666,Sim,Não,Não,Não
93367,São Paulo,1350,Sim,Não,Não,Não
93369,São Paulo,20,Sim,Não,Não,Não
93371,São Paulo,2144,Sim,Sim,Não,Não
93373,São Paulo,1466,Sim,Não,Não,Não
93374,São Paulo,2162,Sim,Não,Não,Não
93375,São Paulo,400,Sim,Não,Não,Não
93382,São Paulo,753,Sim,Não,Não,Não
93383,São Paulo,3166,Sim,Não,Não,Não
93384,São Paulo,397,Sim,Não,Não,Não
93386,São Paulo,540,Sim,Não,Não,Não
93392,São Paulo,804,Sim,Não,Não,Sim
93395,São Paulo,452,Sim,Não,Não,Não
93396,São Paulo,1503,Sim,Não,Não,Não
93397,São Paulo,8,Sim,Não,Não,Não
93398,São Paulo,1000,Sim,Não,Não,Não
93402,São Paulo,487,Sim,Não,Não,Sim
93404,São Paulo,1312,Sim,Não,Não,Não
93406,São Paulo,1274,Sim,Não,Não,Sim
93407,São Paulo,1124,Sim,Não,Sim,Sim
93408,São Paulo,525,Sim,Não,Não,Não
93410,São Paulo,1400,Sim,Não,Não,Sim
93411,São Paulo,796,Sim,Não,Não,Sim
93414,São Paulo,0,Sim,Não,Não,Não
93415,São Paulo,4766,Sim,Não,Não,Sim
93416,São Paulo,1500,Sim,Não,Não,Não
93417,São Paulo,2497,Sim,Não,Não,Não
93419,São Paulo,1025,Sim,Não,Não,Não
93420,São Paulo,700,Sim,Não,Não,Não
93421,São Paulo,1066,Sim,Não,Não,Não
93422,São Paulo,567,Sim,Não,Não,Sim
93424,São Paulo,1650,Sim,Não,Não,Não
93425,São Paulo,1666,Sim,Não,Sim,Sim
93426,São Paulo,3000,Sim,Não,Sim,Não
93429,São Paulo,2294,Sim,Não,Sim,Não
93430,São Paulo,937,Sim,Não,Não,Não
93431,São Paulo,394,Sim,Sim,Não,Não
93432,São Paulo,775,Sim,Não,Sim,Sim
93433,São Paulo,2562,Sim,Não,Não,Não
93434,São Paulo,1500,Sim,Não,Não,Não
93435,São Paulo,1025,Sim,Não,Não,Não
93436,São Paulo,1566,Sim,Não,Sim,Não
93437,São Paulo,1844,Sim,Não,Não,Sim
93438,São Paulo,738,Sim,Sim,Não,Não
93439,São Paulo,2036,Sim,Não,Não,Não
93441,São Paulo,1644,Sim,Não,Não,Sim
93442,São Paulo,1250,Sim,Não,Não,Não
93445,São Paulo,900,Sim,Não,Não,Não
93447,São Paulo,1425,Sim,Não,Não,Não
93448,São Paulo,650,Sim,Não,Não,Não
93449,São Paulo,1359,Sim,Não,Não,Não
93450,São Paulo,1500,Sim,Não,Sim,Sim
93452,São Paulo,757,Sim,Sim,Não,Não
93454,São Paulo,966,Sim,Não,Não,Não
93455,São Paulo,1766,Sim,Sim,Não,Não
93460,São Paulo,333,Sim,Sim,Não,Não
93464,São Paulo,748,Sim,Sim,Não,Não
93465,São Paulo,750,Sim,Não,Não,Não
93471,São Paulo,1500,Sim,Não,Não,Sim
93480,São Paulo,1750,Sim,Não,Não,Sim
93487,São Paulo,600,Sim,Não,Não,Não
93490,São Paulo,1295,Sim,Não,Não,Não
93493,São Paulo,2250,Sim,Não,Não,Não
93494,São Paulo,262,Sim,Não,Sim,Não
93498,São Paulo,1333,Sim,Não,Não,Não
93499,São Paulo,1050,Sim,Não,Não,Não
93501,São Paulo,676,Sim,Não,Não,Não
93503,São Paulo,996,Sim,Sim,Não,Não
93505,São Paulo,1538,Sim,Sim,Não,Não
93508,São Paulo,1800,Sim,Não,Não,Não
93509,São Paulo,1450,Sim,Não,Não,Não
93510,São Paulo,1666,Sim,Não,Não,Não
93515,São Paulo,1617,Sim,Não,Não,Não
93517,São Paulo,862,Sim,Não,Não,Não
93520,São Paulo,3100,Sim,Não,Sim,Sim
93521,São Paulo,1675,Sim,Não,Não,Não
93523,São Paulo,1625,Sim,Sim,Não,Não
93524,São Paulo,750,Sim,Não,Sim,Não
93525,São Paulo,3152,Sim,Não,Sim,Sim
93526,São Paulo,1200,Sim,Sim,Não,Não
93527,São Paulo,1329,Sim,Não,Não,Não
93528,São Paulo,1316,Sim,Não,Não,Não
93530,São Paulo,1252,Sim,Não,Não,Não
93532,São Paulo,1090,Sim,Não,Não,Não
93533,São Paulo,592,Sim,Sim,Não,Não
93534,São Paulo,1400,Sim,Não,Não,Não
93536,São Paulo,312,Sim,Sim,Não,Não
93538,São Paulo,2044,Sim,Não,Sim,Sim
93539,São Paulo,342,Sim,Não,Não,Sim
93540,São Paulo,680,Sim,Não,Não,Sim
93542,São Paulo,962,Sim,Não,Não,Não
93543,São Paulo,2800,Sim,Sim,Não,Não
93544,São Paulo,1012,Sim,Sim,Não,Sim
93547,São Paulo,1516,Sim,Sim,Não,Sim
93549,São Paulo,857,Sim,Não,Não,Sim
93551,São Paulo,1197,Sim,Sim,Não,Não
93552,São Paulo,1024,Sim,Sim,Não,Não
93553,São Paulo,1366,Sim,Sim,Não,Sim
93555,São Paulo,766,Sim,Não,Sim,Sim
93556,São Paulo,1000,Sim,Sim,Não,Sim
93558,São Paulo,0,Sim,Sim,Não,Não
93559,São Paulo,3900,Sim,Não,Não,Não
93561,São Paulo,1250,Sim,Não,Não,Não
93562,São Paulo,5000,Sim,Sim,Não,Não
93564,São Paulo,1500,Sim,Sim,Não,Não
93565,São Paulo,9090,Sim,Não,Não,Não
93571,São Paulo,4250,Sim,Não,Não,Não
93573,São Paulo,500,Sim,Sim,Não,Não
93574,São Paulo,2294,Sim,Não,Sim,Sim
93577,São Paulo,1500,Sim,Não,Não,Não
93580,São Paulo,1266,Sim,Não,Não,Não
93582,São Paulo,500,Sim,Não,Não,Não
93585,São Paulo,800,Sim,Sim,Não,Não
93587,São Paulo,3300,Sim,Não,Não,Não
93588,São Paulo,3800,Sim,Sim,Não,Não
93589,São Paulo,2580,Sim,Não,Não,Sim
93591,São Paulo,5566,Sim,Não,Não,Não
93593,São Paulo,2450,Sim,Não,Sim,Sim
93594,São Paulo,1878,Sim,Não,Sim,Sim
93595,São Paulo,2900,Sim,Não,Não,Não
93596,São Paulo,5875,Sim,Não,Não,Não
93597,São Paulo,1900,Sim,Não,Sim,Sim
93598,São Paulo,740,Sim,Não,Sim,Não
93599,São Paulo,883,Sim,Não,Não,Não
93600,São Paulo,1000,Sim,Não,Não,Sim
93601,São Paulo,1700,Sim,Não,Não,Não
93604,São Paulo,795,Sim,Não,Sim,Não
93605,São Paulo,6000,Sim,Não,Não,Não
93606,São Paulo,0,Sim,Não,Sim,Sim
93607,São Paulo,14500,Sim,Não,Não,Não
93608,São Paulo,933,Sim,Não,Não,Não
93611,São Paulo,2087,Sim,Não,Não,Não
93613,São Paulo,1500,Sim,Não,Não,Não
93614,São Paulo,1100,Sim,Não,Não,Não
93615,São Paulo,3000,Sim,Não,Não,Não
93616,São Paulo,364,Sim,Sim,Não,Não
93617,São Paulo,1825,Sim,Não,Não,Não
93618,São Paulo,1916,Sim,Não,Não,Sim
93619,São Paulo,597,Sim,Não,Sim,Sim
93620,São Paulo,1066,Sim,Não,Não,Não
93623,São Paulo,8788,Sim,Não,Não,Sim
